MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER
18,367709270,"FANCY 55",None," ",23.307715,-77.922160,2024-03-06 13:05:00.000,102.2,101.2,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.277693,-77.718607,2024-03-06 13:10:00.000,102.2,102.5,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.236750,-77.462010,2024-03-06 13:15:00.000,102.2,104.7,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.193195,-77.285900,2024-03-06 13:20:00.000,102.2,105.8,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.113463,-77.004093,2024-03-06 13:25:00.000,102.2,107.8,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
18,367709270,"FANCY 55",None," ",23.049083,-76.800357,2024-03-06 13:30:00.000,102.2,109.6,None,None,None,37,None,None,7,7,2,2,"","US",rORBCOMM000
1,310563000,"ARCHIMEDES",1009637,"ZCDY4",22.091506,-77.351779,2024-03-06 14:55:00.000,14.2,108.7,109,0,15,37,3.5,3.5,34,34,6,7,"ST. BARTHELEMY","BM",ORBCOMM-T
1,339794000,"SPECTRE",9837999,"6YTX2",21.990916,-77.254250,2024-03-06 18:30:00.000,13.9,312.2,307,0,1,37,3.6,3.6,25,45,5,6,"ST.BARTHS","JM",ORBCOMM-T
1,368350000,"DIONE SUN",None,"WDJ3902",22.501740,-77.903474,2024-03-06 21:10:00.000,13.3,122.7,97,0,None,37,None,None,17,17,5,2,"","US",rORBCOMM000
1,368350000,"DIONE SUN",None,"WDJ3902",22.461738,-77.833259,2024-03-06 21:30:00.000,13.7,121.1,98,0,None,37,None,None,17,17,5,2,"","US",rORBCOMM000
1,368350000,"DIONE SUN",None,"WDJ3902",22.436018,-77.788144,2024-03-06 21:45:00.000,13.5,121.9,97,0,None,37,None,None,17,17,5,2,"","US",rORBCOMM000
1,368350000,"DIONE SUN",None,"WDJ3902",22.414419,-77.754882,2024-03-06 21:55:00.000,13.3,124.9,105,0,None,37,None,None,17,17,5,2,"","US",rORBCOMM000
1,368350000,"DIONE SUN",None,"WDJ3902",22.360975,-77.672780,2024-03-06 22:20:00.000,13.6,126.6,105,0,None,37,None,None,17,17,5,2,"","US",rORBCOMM000
1,319752000,"SARON",1010404,"ZGBD",22.467136,-77.851584,2024-03-07 05:05:00.000,10.4,305.1,304,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,319752000,"SARON",1010404,"ZGBD",22.563391,-77.994018,2024-03-07 06:00:00.000,10.2,306.2,303,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,319752000,"SARON",1010404,"ZGBD",22.570893,-78.004935,2024-03-07 06:05:00.000,10.2,305.5,303,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
3,538071050,"FAR NIENTE",9678496,"V7KA9",22.040118,-77.023607,2024-03-07 08:15:00.000,15.5,291.8,288,0,1,37,1.8,1.8,20,20,4,5,"BVI","MH",rORBCOMM000
1,319752000,"SARON",1010404,"ZGBD",22.836128,-78.697318,2024-03-07 10:05:00.000,10.4,303.8,299,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
3,538071050,"FAR NIENTE",9678496,"V7KA9",22.236238,-77.510201,2024-03-07 10:10:00.000,14.9,312.3,311,0,1,37,1.8,1.8,20,20,4,5,"BVI","MH",rORBCOMM000
3,538071050,"FAR NIENTE",9678496,"V7KA9",22.252517,-77.528426,2024-03-07 10:15:00.000,16.0,314.2,310,0,1,37,1.8,1.8,20,20,4,5,"BVI","MH",rORBCOMM000
1,319752000,"SARON",1010404,"ZGBD",22.848848,-78.713597,2024-03-07 10:15:00.000,10.4,315.0,310,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,319752000,"SARON",1010404,"ZGBD",22.927748,-78.771880,2024-03-07 10:45:00.000,10.8,329.5,328,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,319752000,"SARON",1010404,"ZGBD",22.933455,-78.775474,2024-03-07 10:50:00.000,10.7,330.2,328,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,538071050,"FAR NIENTE",9678496,"V7KA9",22.354489,-77.652784,2024-03-07 10:50:00.000,15.3,303.6,300,0,1,37,1.8,1.8,20,20,4,5,"BVI","MH",rORBCOMM000
1,319752000,"SARON",1010404,"ZGBD",23.030383,-78.831580,2024-03-07 11:25:00.000,11.0,333.7,332,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,319752000,"SARON",1010404,"ZGBD",23.181330,-78.911305,2024-03-07 12:20:00.000,10.0,333.1,332,0,1,37,3.0,3.0,29,10,6,2,"SXM","KY",ORBCOMM-T
1,319018500,"ASPEN ALTERNATIVE",9583251," ",22.170479,-77.402706,2024-03-08 09:20:00.000,10.8,308.3,312,0,1,37,2.8,2.8,50,0,4,5,"SAN JOSE DEL CABO","KY",ORBCOMM-T
1,319041000,"MAMAMIA",946173800,"ZCTW8",23.182258,-78.859430,2024-03-09 08:10:00.000,12.9,140.5,139,0,1,37,2.5,2.5,27,13,4,4,"ST MARTIN","KY",rORBCOMM000
1,319041000,"MAMAMIA",946173800,"ZCTW8",21.968373,-76.823735,2024-03-09 19:00:00.000,12.2,112.1,116,0,1,37,2.5,2.5,27,13,4,4,"ST MARTIN","KY",rORBCOMM000
3,319077100,"MISSING LINK",9707936,"ZGEQ3",23.390816,-76.925050,2024-03-11 19:20:00.000,11.4,332.0,339,0,1,37,2.5,2.5,25,23,5,4,"HILLSBORO MILE","KY",ORBCOMM-T
1,319369000,"FELIX",1008217,"ZCOD7",22.060533,-77.179360,2024-03-12 18:05:00.000,15.9,285.2,288,0,15,37,3.8,3.8,61,13,12,0,"ORAMS","KY",rORBCOMM000
