,MSG_TYPE,MMSI,NAME,IMO_NUMBER,CALL_SIGN,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,NAV_SENSOR,SHIP_AND_CARGO_TYPE,DRAUGHT,DRAUGHT.1,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,DESTINATION,MMSI_COUNTRY_CD,RECEIVER,BEAM,LENGTH,CHANNEL_SIDE,time_diff,cog_diff,new_voyage,voyage_id,geometry,in_channel_north,in_channel_south,location,num_pings
98348,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.438045,-77.826557,2023-02-25 11:00:00,10.2,303.5,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.39999999999997726,False,74_577482000,POINT (-77.826557 22.438045),True,False,in north channel,68
98349,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.443863,-77.835904,2023-02-25 11:05:00,10.2,304.1,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.6000000000000227,False,74_577482000,POINT (-77.835904 22.443863),True,False,in north channel,68
98350,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.45238,-77.849465,2023-02-25 11:10:00,10.2,304.3,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.19999999999998863,False,74_577482000,POINT (-77.849465 22.45238),True,False,in north channel,68
98351,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.460271,-77.862164,2023-02-25 11:15:00,10.2,303.5,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.8000000000000114,False,74_577482000,POINT (-77.862164 22.460271),True,False,in north channel,68
98352,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.468586,-77.875205,2023-02-25 11:20:00,10.1,303.8,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.30000000000001137,False,74_577482000,POINT (-77.875205 22.468586),True,False,in north channel,68
98353,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.475685,-77.886612,2023-02-25 11:25:00,10.1,304.1,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.30000000000001137,False,74_577482000,POINT (-77.886612 22.475685),True,False,in north channel,68
98354,3,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.483848,-77.899699,2023-02-25 11:30:00,10.1,303.6,305.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.5,False,74_577482000,POINT (-77.899699 22.483848),True,False,in north channel,68
98355,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.491836,-77.912262,2023-02-25 11:35:00,10.1,304.9,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,1.2999999999999545,False,74_577482000,POINT (-77.912262 22.491836),True,False,in north channel,68
98356,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.499801,-77.92492,2023-02-25 11:40:00,10.1,304.7,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.19999999999998863,False,74_577482000,POINT (-77.92492 22.499801),True,False,in north channel,68
98357,1,577482000,NFE CLEAN ENERGY,9315513.0,YJWY4,22.507855,-77.937529,2023-02-25 11:45:00,10.0,304.4,306.0,0.0,1.0,70,3.6,3.6,11,60,13,4,PUERTO CORTES LN,,,17,71,Northwestbound,300.0,0.30000000000001137,False,74_577482000,POINT (-77.937529 22.507855),True,False,in north channel,68
