target_len,teacher_forcing_ratio,learning_rate,MAE_m,MSE_m2,RMSE_m,best_val_loss,model_path,per_step_MAE_m,per_step_RMSE_m
10,0.5,0.04,71354.6875,7275642368.0,85297.37609094432,0.3732477432842982,grid_models\seq2seq_tlen10_tfr0.5_lr0.04.pt,"79420.41,65630.14,68316.08,69467.41,70246.44,70884.82,71511.25,72133.07,72690.04,73247.25","92493.36,78588.89,81890.62,83264.89,84217.26,84944.14,85659.85,86379.76,87059.52,87747.27"
10,0.5,0.06,77414.03125,7787045888.0,88244.23997066324,0.4055222088502625,grid_models\seq2seq_tlen10_tfr0.5_lr0.06.pt,"76701.41,70519.67,75416.27,76842.82,77636.70,78251.42,78848.54,79440.43,79975.02,80508.08","90032.54,80780.53,85550.63,87087.04,88025.82,88727.60,89416.14,90111.06,90770.54,91435.09"
10,0.5,0.08,73761.65625,7183858688.0,84757.64678186859,0.37541497713428434,grid_models\seq2seq_tlen10_tfr0.5_lr0.08.pt,"70237.24,66114.52,71162.76,73645.63,74593.69,75224.76,75817.82,76403.78,76942.28,77474.14","80387.13,78375.06,81602.71,84219.78,85321.05,86043.27,86729.98,87419.49,88083.87,88745.27"
10,0.5,0.1,110454.2265625,16702632960.0,129238.66665978878,0.8302218019962311,grid_models\seq2seq_tlen10_tfr0.5_lr0.1.pt,"220166.62,89121.84,95394.09,97791.41,98830.59,99491.48,100117.25,100734.34,101187.92,101706.75","225363.02,98580.71,110154.60,113393.80,114704.66,115492.81,116242.24,116997.18,117614.00,118313.58"
10,0.6,0.01,78712.2734375,9096047616.0,95373.20177072803,0.44217467838424745,grid_models\seq2seq_tlen10_tfr0.6_lr0.01.pt,"154905.61,64510.55,67786.78,69394.35,70230.79,70867.07,71483.79,72095.12,72648.83,73199.84","167597.50,76948.09,80670.81,82492.49,83498.95,84226.45,84935.05,85646.64,86325.56,87006.71"
10,0.6,0.04,71290.7734375,7189394944.0,84790.29982256224,0.3733463125713801,grid_models\seq2seq_tlen10_tfr0.6_lr0.04.pt,"76735.55,65134.02,68461.32,69773.55,70580.88,71226.88,71858.81,72486.30,73045.10,73605.38","85736.12,77957.27,82015.99,83579.65,84563.54,85296.24,86015.02,86738.47,87418.72,88108.64"
10,0.6,0.06,73911.5703125,7378251264.0,85896.74769163266,0.38683929016529506,grid_models\seq2seq_tlen10_tfr0.6_lr0.06.pt,"69216.81,69751.12,69902.70,73433.05,74577.88,75257.34,75877.65,76487.21,77033.13,77578.91","80294.16,83225.94,81272.46,84984.18,86296.99,87064.66,87775.16,88486.18,89157.62,89835.92"
10,0.6,0.08,75127.1015625,7490030080.0,86544.9598763556,0.39140199427887545,grid_models\seq2seq_tlen10_tfr0.6_lr0.08.pt,"75916.44,68674.59,72951.88,74289.64,75078.34,75701.47,76307.55,76908.46,77450.91,77991.79","86987.49,79981.50,84003.78,85427.71,86361.03,87070.60,87767.82,88471.14,89139.35,89812.23"
10,0.6,0.1,73434.28125,7266971136.0,85246.53151888351,0.38016620392011385,grid_models\seq2seq_tlen10_tfr0.6_lr0.1.pt,"69157.92,67948.84,70238.83,73094.53,74122.07,74778.88,75390.83,75993.21,76537.71,77080.00","80030.36,81553.12,81298.92,84441.87,85650.07,86398.77,87102.64,87807.30,88477.73,89151.67"
10,0.7,0.01,80355.8984375,8697181184.0,93258.67886690225,0.4542617296515885,grid_models\seq2seq_tlen10_tfr0.7_lr0.01.pt,"81278.60,76481.42,78089.23,79101.71,79898.94,80545.73,81179.41,81802.02,82319.84,82862.17","88150.46,88467.20,91192.09,92492.76,93484.98,94228.93,94964.70,95706.02,96364.56,97063.73"
