,MMSI,NAME,LAT_AVG,LON_AVG,PERIOD,SPEED_KNOTS,COG_DEG,HEADING_DEG,NAV_STATUS,SHIP_AND_CARGO_TYPE,DRAUGHT,DIM_BOW,DIM_STERN,DIM_PORT,DIM_STARBOARD,BEAM,LENGTH,channel_side,time_diff,new_voyage,voyage_id
119,338327000,DENIS SULLIVAN,22.45313,-77.78846,2024-03-27 08:35:00,6.3,280.0,302.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
120,338327000,DENIS SULLIVAN,22.458378,-77.796614,2024-03-27 08:40:00,6.6,308.7,319.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
121,338327000,DENIS SULLIVAN,22.4639,-77.804667,2024-03-27 08:45:00,6.6,313.0,325.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
122,338327000,DENIS SULLIVAN,22.470211,-77.812354,2024-03-27 08:50:00,6.6,300.1,313.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
123,338327000,DENIS SULLIVAN,22.475761,-77.81988,2024-03-27 08:55:00,6.6,315.6,321.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
124,338327000,DENIS SULLIVAN,22.481986,-77.827614,2024-03-27 09:00:00,6.8,313.3,322.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
125,338327000,DENIS SULLIVAN,22.488795,-77.835467,2024-03-27 09:05:00,7.0,309.6,315.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
126,338327000,DENIS SULLIVAN,22.494675,-77.84358,2024-03-27 09:10:00,7.0,312.1,322.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
127,338327000,DENIS SULLIVAN,22.500778,-77.851787,2024-03-27 09:15:00,7.0,310.4,320.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
128,338327000,DENIS SULLIVAN,22.506816,-77.859914,2024-03-27 09:20:00,6.6,312.7,323.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
129,338327000,DENIS SULLIVAN,22.513196,-77.868387,2024-03-27 09:25:00,6.6,306.0,318.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
130,338327000,DENIS SULLIVAN,22.518661,-77.875887,2024-03-27 09:30:00,6.7,306.7,317.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
131,338327000,DENIS SULLIVAN,22.652958,-78.077134,2024-03-27 11:35:00,6.9,284.2,294.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,7500.0,False,4_338327000
132,338327000,DENIS SULLIVAN,22.653466,-78.079127,2024-03-27 11:40:00,6.7,283.0,296.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,300.0,False,4_338327000
133,338327000,DENIS SULLIVAN,22.695533,-78.229794,2024-03-27 12:55:00,6.9,297.2,304.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,4500.0,False,4_338327000
134,338327000,DENIS SULLIVAN,22.702825,-78.259434,2024-03-27 13:10:00,7.1,276.6,286.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,900.0,False,4_338327000
135,338327000,DENIS SULLIVAN,23.183911,-78.887047,2024-03-27 20:00:00,6.4,322.0,326.0,0.0,36,2.8,20,22,8,0,8,42,Northwestbound,24600.0,True,5_338327000
136,355187000,MARLIN DEL REY V,21.81856,-77.005859,2023-12-11 06:05:00,13.6,296.6,292.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,0.0,True,1_355187000
137,355187000,MARLIN DEL REY V,21.974395,-77.219865,2023-12-11 07:10:00,14.0,310.1,308.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,3900.0,False,1_355187000
138,355187000,MARLIN DEL REY V,22.043575,-77.305023,2023-12-11 07:35:00,14.0,313.5,314.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1500.0,False,1_355187000
139,355187000,MARLIN DEL REY V,22.0512,-77.313514,2023-12-11 07:40:00,13.9,313.0,313.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,300.0,False,1_355187000
140,355187000,MARLIN DEL REY V,22.129266,-77.406185,2023-12-11 08:10:00,14.2,313.2,311.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1800.0,False,1_355187000
141,355187000,MARLIN DEL REY V,22.211845,-77.498587,2023-12-11 08:40:00,14.5,314.6,310.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1800.0,False,1_355187000
142,355187000,MARLIN DEL REY V,22.373418,-77.710115,2023-12-11 09:40:00,14.3,307.2,305.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,3600.0,False,1_355187000
143,355187000,MARLIN DEL REY V,22.381153,-77.720822,2023-12-11 09:45:00,14.2,307.6,303.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,300.0,False,1_355187000
144,355187000,MARLIN DEL REY V,22.485856,-77.886705,2023-12-11 10:35:00,13.9,303.1,300.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,3000.0,False,1_355187000
145,355187000,MARLIN DEL REY V,22.702191,-78.36538,2023-12-11 12:40:00,14.0,288.5,285.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,7500.0,False,1_355187000
146,355187000,MARLIN DEL REY V,22.738723,-78.476517,2023-12-11 13:10:00,13.9,289.7,286.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1800.0,False,1_355187000
147,355187000,MARLIN DEL REY V,22.775103,-78.588765,2023-12-11 13:35:00,13.6,287.5,285.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1500.0,False,1_355187000
148,355187000,MARLIN DEL REY V,22.80889,-78.699915,2023-12-11 14:05:00,13.7,288.7,285.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1800.0,False,1_355187000
149,355187000,MARLIN DEL REY V,22.910895,-78.963339,2023-12-11 15:15:00,13.6,293.0,291.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,4200.0,False,1_355187000
150,355187000,MARLIN DEL REY V,22.91705,-78.979064,2023-12-11 15:20:00,13.6,292.8,292.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,300.0,False,1_355187000
151,355187000,MARLIN DEL REY V,22.923323,-78.994735,2023-12-11 15:25:00,13.6,293.3,292.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,300.0,False,1_355187000
152,355187000,MARLIN DEL REY V,22.952998,-79.071454,2023-12-11 15:45:00,13.5,293.1,292.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,1200.0,False,1_355187000
153,355187000,MARLIN DEL REY V,22.961606,-79.093265,2023-12-11 15:50:00,13.4,292.5,291.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,300.0,False,1_355187000
154,355187000,MARLIN DEL REY V,23.018801,-79.24857,2023-12-11 16:35:00,13.6,291.2,290.0,0.0,36,4.0,25,15,5,5,10,40,Northwestbound,2700.0,False,1_355187000
155,355187000,MARLIN DEL REY V,22.776413,-78.744303,2023-12-25 02:20:00,10.4,101.2,107.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,1158300.0,True,2_355187000
156,355187000,MARLIN DEL REY V,22.746206,-78.653269,2023-12-25 02:50:00,10.4,109.9,108.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,1800.0,False,2_355187000
157,355187000,MARLIN DEL REY V,22.451328,-77.914869,2023-12-25 07:15:00,10.2,123.7,121.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,15900.0,True,3_355187000
158,355187000,MARLIN DEL REY V,22.381783,-77.803255,2023-12-25 08:00:00,10.0,123.0,121.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,2700.0,False,3_355187000
159,355187000,MARLIN DEL REY V,22.376436,-77.794399,2023-12-25 08:05:00,10.0,123.9,122.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,300.0,False,3_355187000
160,355187000,MARLIN DEL REY V,22.304352,-77.676293,2023-12-25 08:50:00,10.0,123.1,121.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,2700.0,False,3_355187000
161,355187000,MARLIN DEL REY V,22.297265,-77.664727,2023-12-25 08:55:00,10.0,125.1,124.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,300.0,False,3_355187000
162,355187000,MARLIN DEL REY V,22.292168,-77.657652,2023-12-25 09:00:00,10.1,129.2,126.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,300.0,False,3_355187000
163,355187000,MARLIN DEL REY V,22.320671,-77.702852,2023-12-25 09:40:00,10.0,123.3,121.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,2400.0,False,3_355187000
164,355187000,MARLIN DEL REY V,22.181918,-77.514184,2023-12-25 10:00:00,10.3,131.2,128.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,1200.0,False,3_355187000
165,355187000,MARLIN DEL REY V,21.738035,-76.936139,2023-12-25 14:00:00,10.7,112.8,110.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,14400.0,True,4_355187000
166,355187000,MARLIN DEL REY V,21.70382,-76.853162,2023-12-25 14:25:00,10.7,116.2,114.0,0.0,36,4.0,25,15,5,5,10,40,Southeastbound,1500.0,False,4_355187000
167,367609150,INDIAN DAWN,22.944405,-79.337587,2023-05-01 00:20:00,5.6,109.6,,0.0,36,4.2,12,21,3,6,9,33,Southeastbound,0.0,True,1_367609150
168,367609150,INDIAN DAWN,22.936352,-79.313361,2023-05-01 00:35:00,5.7,109.6,,0.0,36,4.2,12,21,3,6,9,33,Southeastbound,900.0,False,1_367609150
169,367609150,INDIAN DAWN,22.934678,-79.308452,2023-05-01 00:40:00,5.7,109.8,,0.0,36,4.2,12,21,3,6,9,33,Southeastbound,300.0,False,1_367609150
170,367609150,INDIAN DAWN,22.930906,-79.297334,2023-05-01 00:45:00,5.7,110.7,,0.0,36,4.2,12,21,3,6,9,33,Southeastbound,300.0,False,1_367609150
171,367609150,INDIAN DAWN,22.919444,-79.260503,2023-05-01 01:10:00,5.2,107.0,,0.0,36,4.2,12,21,3,6,9,33,Southeastbound,1500.0,False,1_367609150
172,367609150,INDIAN DAWN,22.917323,-79.253084,2023-05-01 01:15:00,5.4,110.4,,0.0,36,4.2,12,21,3,6,9,33,Southeastbound,300.0,False,1_367609150
