MMSI,LAT,LON,PERIOD,SPEED,COG,HEADING,voyage_id,TIME,dt,dlat,dlon,cog_rad,cog_sin,cog_cos,hdg_rad,hdg_sin,hdg_cos,num_pings
477883200,22.481761,-77.966888,2023-05-24 07:55:00,13.1,124.2,123.0,8_477883200,2023-05-24 07:55:00,0.0,0.0,0.0,2.167698930976957,0.8270805742745617,-0.5620833778521307,2.146754979953025,0.838670567945424,-0.5446390350150271,5
477883200,22.458511,-77.929539,2023-05-24 08:05:00,12.9,123.7,123.0,8_477883200,2023-05-24 08:05:00,600.0,-0.0232499999999973,0.0373489999999918,2.158972284716986,0.8319541221304825,-0.5548444274479994,2.146754979953025,0.838670567945424,-0.5446390350150271,5
477883200,22.455567,-77.92474,2023-05-24 08:10:00,12.9,123.6,123.0,8_477883200,2023-05-24 08:10:00,300.0,-0.0029440000000029,0.0047990000000055,2.157226955464991,0.8329212407100995,-0.553391549243344,2.146754979953025,0.838670567945424,-0.5446390350150271,5
477883200,22.429805,-77.8828,2023-05-24 08:20:00,13.0,123.4,123.0,8_477883200,2023-05-24 08:20:00,600.0,-0.0257619999999967,0.0419399999999967,2.1537362969610028,0.8348478632634065,-0.5504807400849956,2.146754979953025,0.838670567945424,-0.5446390350150271,5
477883200,22.423696,-77.872919,2023-05-24 08:25:00,13.1,124.1,123.0,8_477883200,2023-05-24 08:25:00,300.0,-0.0061090000000021,0.0098810000000071,2.1659536017249628,0.8280603346224945,-0.5606389945632415,2.146754979953025,0.838670567945424,-0.5446390350150271,5
477887300,22.790345,-78.768745,2024-04-04 03:55:00,11.2,109.7,110.0,2_477887300,2024-04-04 03:55:00,0.0,0.0,0.0,1.91462618943778,0.9414705448120378,-0.3370952584230821,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.784676,-78.752297,2024-04-04 04:00:00,11.2,110.8,110.0,2_477887300,2024-04-04 04:00:00,300.0,-0.0056689999999974,0.0164479999999969,1.9338248112097167,0.9348256763960144,-0.355106962408137,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.779568,-78.737594,2024-04-04 04:05:00,11.1,110.4,110.0,2_477887300,2024-04-04 04:05:00,300.0,-0.0051079999999998,0.0147029999999972,1.92684349420174,0.9372819894918916,-0.3485720473218152,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.774065,-78.721289,2024-04-04 04:10:00,11.0,109.4,110.0,2_477887300,2024-04-04 04:10:00,300.0,-0.0055030000000009,0.0163050000000026,1.9093902016817963,0.943222657947601,-0.3321611318837033,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.768951,-78.705667,2024-04-04 04:15:00,10.9,109.1,110.0,2_477887300,2024-04-04 04:15:00,300.0,-0.0051139999999989,0.0156219999999933,1.9041542139258132,0.9449489121575309,-0.3272178989791037,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.764,-78.690654,2024-04-04 04:20:00,10.8,109.5,111.0,2_477887300,2024-04-04 04:20:00,300.0,-0.0049510000000019,0.0150130000000103,1.911135530933791,0.9426414910921784,-0.333806859233771,1.9373154697137056,0.9335804264972016,-0.3583679495453002,95
477887300,22.758496,-78.674255,2024-04-04 04:25:00,10.7,109.7,110.0,2_477887300,2024-04-04 04:25:00,300.0,-0.0055039999999983,0.0163989999999927,1.91462618943778,0.9414705448120378,-0.3370952584230821,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.753671,-78.659654,2024-04-04 04:30:00,10.6,110.0,110.0,2_477887300,2024-04-04 04:30:00,300.0,-0.0048250000000003,0.0146009999999989,1.9198621771937625,0.9396926207859084,-0.3420201433256687,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.748751,-78.644982,2024-04-04 04:35:00,10.6,109.4,110.0,2_477887300,2024-04-04 04:35:00,300.0,-0.004920000000002,0.0146720000000044,1.9093902016817963,0.943222657947601,-0.3321611318837033,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.743591,-78.62948,2024-04-04 04:40:00,10.5,109.8,110.0,2_477887300,2024-04-04 04:40:00,300.0,-0.00516,0.0155019999999979,1.9163715186897736,0.9408807689542256,-0.3387379202452913,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.738798,-78.615202,2024-04-04 04:45:00,10.4,109.5,110.0,2_477887300,2024-04-04 04:45:00,300.0,-0.0047929999999993,0.0142780000000044,1.911135530933791,0.9426414910921784,-0.333806859233771,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.733556,-78.599967,2024-04-04 04:50:00,10.3,111.1,111.0,2_477887300,2024-04-04 04:50:00,300.0,-0.005241999999999,0.0152349999999898,1.9390607989657,0.932953534825489,-0.3599968081200511,1.9373154697137056,0.9335804264972016,-0.3583679495453002,95
477887300,22.728696,-78.585875,2024-04-04 04:55:00,10.2,110.2,110.0,2_477887300,2024-04-04 04:55:00,300.0,-0.0048600000000007,0.0140920000000051,1.9233528356977512,0.938493022759556,-0.3452981989985346,1.9198621771937625,0.9396926207859084,-0.3420201433256687,95
477887300,22.723775,-78.571325,2024-04-04 05:00:00,10.2,110.3,111.0,2_477887300,2024-04-04 05:00:00,300.0,-0.0049209999999995,0.0145499999999998,1.9250981649497452,0.9378889346118976,-0.3469356515732557,1.9373154697137056,0.9335804264972016,-0.3583679495453002,95
477887300,22.718585,-78.55645,2024-04-04 05:05:00,10.2,109.7,109.0,2_477887300,2024-04-04 05:05:00,300.0,-0.0051899999999989,0.0148750000000035,1.91462618943778,0.9414705448120378,-0.3370952584230821,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
477887300,22.713893,-78.541247,2024-04-04 05:10:00,10.2,108.1,108.0,2_477887300,2024-04-04 05:10:00,300.0,-0.0046920000000021,0.0152029999999996,1.88670092140587,0.9505157316277838,-0.3106764296307316,1.884955592153876,0.9510565162951536,-0.3090169943749473,95
477887300,22.70943,-78.526482,2024-04-04 05:15:00,10.2,108.3,108.0,2_477887300,2024-04-04 05:15:00,300.0,-0.0044629999999976,0.014764999999997,1.8901915799098588,0.949425477641904,-0.3139924559674047,1.884955592153876,0.9510565162951536,-0.3090169943749473,95
477887300,22.705133,-78.512255,2024-04-04 05:20:00,10.2,108.7,109.0,2_477887300,2024-04-04 05:20:00,300.0,-0.0042970000000011,0.0142270000000053,1.8971728969178363,0.9472102777460288,-0.3206129905856763,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
477887300,22.700723,-78.498079,2024-04-04 05:25:00,10.2,108.0,108.0,2_477887300,2024-04-04 05:25:00,300.0,-0.00441,0.0141759999999919,1.884955592153876,0.9510565162951536,-0.3090169943749473,1.884955592153876,0.9510565162951536,-0.3090169943749473,95
477887300,22.696193,-78.482859,2024-04-04 05:30:00,10.2,107.3,107.0,2_477887300,2024-04-04 05:30:00,300.0,-0.004529999999999,0.0152199999999993,1.872738287389916,0.9547607995027976,-0.2973748740777859,1.8675022996339323,0.9563047559630355,-0.2923717047227366,95
477887300,22.692255,-78.468677,2024-04-04 05:35:00,10.1,106.6,106.0,2_477887300,2024-04-04 05:35:00,300.0,-0.0039380000000015,0.0141820000000052,1.8605209826259552,0.9583225744651332,-0.2856883674049734,1.8500490071139888,0.9612616959383188,-0.275637355816999,95
477887300,22.688176,-78.454125,2024-04-04 05:40:00,10.0,107.0,106.0,2_477887300,2024-04-04 05:40:00,300.0,-0.0040790000000008,0.0145519999999947,1.8675022996339323,0.9563047559630355,-0.2923717047227366,1.8500490071139888,0.9612616959383188,-0.275637355816999,95
477887300,22.683891,-78.439067,2024-04-04 05:45:00,10.0,107.4,107.0,2_477887300,2024-04-04 05:45:00,300.0,-0.0042849999999994,0.0150580000000104,1.87448361664191,0.9542403285162768,-0.2990407922560868,1.8675022996339323,0.9563047559630355,-0.2923717047227366,95
477887300,22.679811,-78.425115,2024-04-04 05:50:00,10.0,106.8,106.0,2_477887300,2024-04-04 05:50:00,300.0,-0.0040799999999983,0.013951999999989,1.864011641129944,0.9573194975320672,-0.2890317969444715,1.8500490071139888,0.9612616959383188,-0.275637355816999,95
477887300,22.675433,-78.410052,2024-04-04 05:55:00,10.1,107.8,107.0,2_477887300,2024-04-04 05:55:00,300.0,-0.0043779999999991,0.015063000000012,1.8814649336498872,0.9521293927421388,-0.3056953049631056,1.8675022996339323,0.9563047559630355,-0.2923717047227366,95
477887300,22.670968,-78.394907,2024-04-04 06:00:00,10.1,107.1,106.0,2_477887300,2024-04-04 06:00:00,300.0,-0.0044650000000032,0.0151449999999897,1.8692476288859268,0.9557930147983302,-0.2940403252323038,1.8500490071139888,0.9612616959383188,-0.275637355816999,95
477887300,22.666913,-78.380817,2024-04-04 06:05:00,10.1,107.3,107.0,2_477887300,2024-04-04 06:05:00,300.0,-0.0040549999999974,0.0140900000000101,1.872738287389916,0.9547607995027976,-0.2973748740777859,1.8675022996339323,0.9563047559630355,-0.2923717047227366,95
477887300,22.662733,-78.366702,2024-04-04 06:10:00,10.1,107.9,107.0,2_477887300,2024-04-04 06:10:00,300.0,-0.0041800000000016,0.0141149999999896,1.8832102629018816,0.9515944038794382,-0.3073566177998071,1.8675022996339323,0.9563047559630355,-0.2923717047227366,95
477887300,22.658318,-78.351614,2024-04-04 06:15:00,10.1,107.1,106.0,2_477887300,2024-04-04 06:15:00,300.0,-0.004414999999998,0.0150880000000057,1.8692476288859268,0.9557930147983302,-0.2940403252323038,1.8500490071139888,0.9612616959383188,-0.275637355816999,95
477887300,22.654095,-78.33752,2024-04-04 06:20:00,10.1,107.5,107.0,2_477887300,2024-04-04 06:20:00,300.0,-0.0042229999999996,0.014094,1.8762289458939043,0.9537169507482268,-0.3007057995042731,1.8675022996339323,0.9563047559630355,-0.2923717047227366,95
477887300,22.649041,-78.322145,2024-04-04 06:25:00,10.1,110.1,109.0,2_477887300,2024-04-04 06:25:00,300.0,-0.0050540000000012,0.0153749999999917,1.9216075064457567,0.9390942520947092,-0.3436596945856159,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
477887300,22.644126,-78.307794,2024-04-04 06:30:00,10.1,110.5,109.0,2_477887300,2024-04-04 06:30:00,300.0,-0.0049150000000004,0.0143510000000048,1.928588823453734,0.9366721892483976,-0.3502073812594673,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
477887300,22.639486,-78.294419,2024-04-04 06:35:00,10.1,109.9,109.0,2_477887300,2024-04-04 06:35:00,300.0,-0.0046399999999984,0.0133749999999963,1.9181168479417685,0.9402881270104188,-0.3403795502130502,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
477887300,22.634528,-78.279599,2024-04-04 06:40:00,10.0,108.6,108.0,2_477887300,2024-04-04 06:40:00,300.0,-0.004958000000002,0.0148200000000002,1.8954275676658416,0.9477684100095856,-0.3189593092980699,1.884955592153876,0.9510565162951536,-0.3090169943749473,95
477887300,22.629823,-78.265474,2024-04-04 06:45:00,9.9,109.8,109.0,2_477887300,2024-04-04 06:45:00,300.0,-0.0047050000000012,0.014125000000007,1.9163715186897736,0.9408807689542256,-0.3387379202452913,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
477887300,22.625108,-78.2515,2024-04-04 06:50:00,9.8,110.7,109.0,2_477887300,2024-04-04 06:50:00,300.0,-0.0047149999999973,0.0139740000000045,1.932079481957723,0.9354440308298672,-0.3534748437792572,1.9024088846738192,0.9455185755993168,-0.3255681544571566,95
